,day_of_week,month,is_holiday,staleness,rolling_7_decay,rolling_30_decay,rolling_100_decay,freq_x_7,freq_x_30,freq_x_100
0,1,6,0,1,,,,,,
1,2,6,0,2,,,,,,
2,3,6,0,3,,,,,,
3,4,6,0,4,,,,,,
4,5,6,0,5,,,,,,
5,6,6,0,6,,,,,,
6,0,6,0,7,,,,,,
7,1,6,0,8,,,,,,
8,2,6,0,9,,,,,,
9,3,6,0,10,,,,,,
10,4,6,0,11,,,,,,
11,5,6,0,12,,,,,,
12,6,6,0,13,,,,,,
13,0,6,0,0,0.0,,,0.0,,
14,1,6,0,1,0.0,,,0.0,,
15,2,6,0,2,0.0,,,0.0,,
16,3,7,0,3,0.0,,,0.0,,
17,4,7,0,4,0.0,,,0.0,,
18,5,7,0,5,0.0,,,0.0,,
19,6,7,0,6,0.0,,,0.0,,
20,0,7,0,7,0.0,,,0.0,,
21,1,7,0,8,0.0,,,0.0,,
22,2,7,0,9,0.0,,,0.0,,
23,3,7,0,10,0.0,,,0.0,,
24,4,7,0,11,0.0,,,0.0,,
25,5,7,0,12,0.0,,,0.0,,
26,6,7,0,13,0.0,,,0.0,,
27,0,7,0,0,0.0,,,0.0,,
28,1,7,0,0,0.0,,,0.0,,
29,2,7,0,1,0.0,,,0.0,,
30,3,7,0,2,0.0,,,0.0,,
31,4,7,0,3,0.0,,,0.0,,
32,5,7,0,4,0.0,,,0.0,,
33,6,7,0,5,0.0,,,0.0,,
34,0,7,0,6,0.0,,,0.0,,
35,1,7,0,7,0.0,,,0.0,,
36,2,7,0,8,0.0,,,0.0,,
37,3,7,0,0,0.0,0.0,,0.0,0.0,
38,4,7,0,1,0.0,0.0,,0.0,0.0,
39,5,7,0,2,0.0,0.0,,0.0,0.0,
40,6,7,0,3,0.0,0.0,,0.0,0.0,
41,0,7,0,4,0.0,0.0,,0.0,0.0,
42,1,7,0,5,0.0,0.0,,0.0,0.0,
43,2,7,0,0,0.0,0.0,,0.0,0.0,
44,3,7,0,1,0.0,0.0,,0.0,0.0,
45,4,7,0,2,0.0,0.0,,0.0,0.0,
46,5,7,0,3,0.0,0.0,,0.0,0.0,
47,6,8,0,4,0.0,0.0,,0.0,0.0,
48,0,8,0,5,0.0,0.0,,0.0,0.0,
49,1,8,0,6,0.0,0.0,,0.0,0.0,
50,2,8,0,7,0.0,0.0,,0.0,0.0,
51,3,8,0,8,0.0,0.0,,0.0,0.0,
52,4,8,0,9,0.0,0.0,,0.0,0.0,
53,5,8,0,10,0.0,0.0,,0.0,0.0,
54,6,8,0,11,0.0,0.0,,0.0,0.0,
55,0,8,0,0,0.0,0.0,,0.0,0.0,
56,1,8,0,1,0.0,0.0,,0.0,0.0,
57,2,8,0,2,0.0,0.0,,0.0,0.0,
58,3,8,0,3,0.0,0.0,,0.0,0.0,
59,4,8,0,4,0.0,0.0,,0.0,0.0,
60,5,8,0,5,0.0,0.0,,0.0,0.0,
61,6,8,0,6,0.0,0.0,,0.0,0.0,
62,0,8,0,7,0.0,0.0,,0.0,0.0,
63,1,8,0,8,0.0,0.0,,0.0,0.0,
64,2,8,0,9,0.0,0.0,,0.0,0.0,
65,3,8,0,10,0.0,0.0,,0.0,0.0,
66,4,8,0,11,0.0,0.0,,0.0,0.0,
67,5,8,0,12,0.0,0.0,,0.0,0.0,
68,6,8,0,13,0.0,0.0,,0.0,0.0,
69,0,8,0,14,0.0,0.0,,0.0,0.0,
70,1,8,0,15,0.0,0.0,,0.0,0.0,
71,2,8,0,16,0.0,0.0,,0.0,0.0,
72,3,8,0,17,0.0,0.0,,0.0,0.0,
73,4,8,0,18,0.0,0.0,,0.0,0.0,
74,5,8,0,0,0.0,0.0,,0.0,0.0,
75,6,8,0,1,0.0,0.0,,0.0,0.0,
76,0,8,0,2,0.0,0.0,,0.0,0.0,
77,1,8,0,3,0.0,0.0,,0.0,0.0,
78,2,9,0,0,0.0,0.0,,0.0,0.0,
79,3,9,0,1,0.0,0.0,,0.0,0.0,
80,4,9,0,2,0.0,0.0,,0.0,0.0,
81,5,9,0,3,0.0,0.0,,0.0,0.0,
82,6,9,0,4,0.0,0.0,,0.0,0.0,
83,0,9,0,5,0.0,0.0,,0.0,0.0,
84,1,9,0,6,0.0,0.0,,0.0,0.0,
85,2,9,0,7,0.0,0.0,,0.0,0.0,
86,3,9,0,8,0.0,0.0,,0.0,0.0,
87,4,9,0,9,0.0,0.0,,0.0,0.0,
88,5,9,0,10,0.0,0.0,,0.0,0.0,
89,6,9,0,0,0.0,0.0,,0.0,0.0,
90,0,9,0,1,0.0,0.0,,0.0,0.0,
91,1,9,0,2,0.0,0.0,,0.0,0.0,
92,2,9,0,3,0.0,0.0,,0.0,0.0,
93,3,9,0,4,0.0,0.0,,0.0,0.0,
94,4,9,0,5,0.0,0.0,,0.0,0.0,
95,5,9,0,6,0.0,0.0,,0.0,0.0,
96,6,9,0,7,0.0,0.0,,0.0,0.0,
97,0,9,0,8,0.0,0.0,,0.0,0.0,
98,1,9,0,9,0.0,0.0,,0.0,0.0,
99,2,9,0,10,0.0,0.0,,0.0,0.0,
100,3,9,0,11,0.0,0.0,,0.0,0.0,
101,4,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0
102,5,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0
103,6,9,0,1,0.0,0.0,0.0,0.0,0.0,0.0
104,0,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0
105,1,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0
106,2,9,0,1,0.0,0.0,0.0,0.0,0.0,0.0
107,3,9,0,2,0.0,0.0,0.0,0.0,0.0,0.0
108,4,10,0,3,0.0,0.0,0.0,0.0,0.0,0.0
109,5,10,0,4,0.0,0.0,0.0,0.0,0.0,0.0
110,6,10,0,5,0.0,0.0,0.0,0.0,0.0,0.0
111,0,10,0,6,0.0,0.0,0.0,0.0,0.0,0.0
112,1,10,0,7,0.0,0.0,0.0,0.0,0.0,0.0
113,2,10,0,8,0.0,0.0,0.0,0.0,0.0,0.0
114,3,10,0,9,0.0,0.0,0.0,0.0,0.0,0.0
115,4,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0
116,5,10,0,11,0.0,0.0,0.0,0.0,0.0,0.0
117,6,10,0,12,0.0,0.0,0.0,0.0,0.0,0.0
118,0,10,0,13,0.0,0.0,0.0,0.0,0.0,0.0
119,1,10,0,14,0.0,0.0,0.0,0.0,0.0,0.0
120,2,10,0,15,0.0,0.0,0.0,0.0,0.0,0.0
121,3,10,0,16,0.0,0.0,0.0,0.0,0.0,0.0
