iter	Passed	Remaining
0	3	3721
1	7	3633
2	10	3413
3	13	3304
4	16	3250
5	21	3491
6	24	3442
7	27	3388
8	30	3351
9	33	3360
10	39	3560
11	44	3646
12	47	3602
13	51	3625
14	55	3636
15	59	3629
16	62	3594
17	64	3539
18	68	3544
19	71	3501
20	74	3458
21	77	3439
22	80	3430
23	84	3438
24	87	3401
25	89	3366
26	92	3335
27	95	3307
28	99	3316
29	102	3300
30	105	3287
31	108	3277
32	111	3253
33	114	3257
34	117	3235
35	120	3214
36	122	3192
37	125	3171
38	128	3178
39	132	3186
40	135	3167
41	138	3148
42	140	3130
43	143	3124
44	146	3117
45	149	3109
46	153	3105
47	155	3090
48	158	3079
49	161	3075
50	164	3061
51	167	3048
52	169	3033
53	172	3020
54	176	3027
55	179	3018
56	181	3006
57	184	2995
58	186	2982
59	191	3004
60	194	2999
61	197	2987
62	200	2975
63	202	2964
64	205	2962
65	209	2958
66	212	2952
67	214	2942
68	217	2932
69	219	2922
70	223	2920
71	226	2918
72	229	2911
73	231	2902
74	234	2893
75	238	2904
76	241	2896
77	244	2888
78	247	2879
79	249	2870
80	252	2869
81	255	2865
82	258	2860
83	262	2859
84	264	2850
85	267	2845
86	270	2843
87	273	2835
88	276	2827
89	278	2819
90	281	2812
91	285	2818
92	288	2811
93	290	2804
94	293	2796
95	296	2789
96	299	2790
97	302	2785
98	305	2778
99	307	2771
