datetime,day_of_week,month,is_holiday,staleness,rm_id,rolling_7_avg,rolling_30_avg,rolling_100_avg,rolling_200_avg,rolling_500_avg,rolling_7_cumulative_avg,rolling_30_cumulative_avg,rolling_100_cumulative_avg,rolling_7_freq,rolling_30_freq,rolling_100_freq,shifted_30_rolling_7_avg,shifted_100_rolling_7_avg,shifted_100_rolling_30_avg,shifted_30_rolling_7_freq,shifted_100_rolling_7_freq,shifted_100_rolling_30_freq,stale,x_stale,xx_stale,x_stale_30,rolling_7_short_decay,rolling_30_medium_decay,rolling_100_long_decay,rolling_7_medium_decay,rolling_30_long_decay,rolling_100_very_long_decay,rolling_7_noise,rolling_30_noise,rolling_100_noise,rolling_7_decay,rolling_30_decay,rolling_100_decay,rolling_7_cumulative_decay,rolling_30_cumulative_decay,rolling_100_cumulative_decay,rolling_7_cumulative_short_decay,rolling_7_cumulative_medium_decay,rolling_30_cumulative_medium_decay,rolling_30_cumulative_long_decay,rolling_100_cumulative_long_decay,shifted_30_rolling_7_short_decay,shifted_100_rolling_7_medium_decay,shifted_100_rolling_30_medium_decay,daily_weight
2023-12-20,2,12,0,0.0,3865,51410.857142857145,37471.73333333333,30490.54,28432.695,11373.078,5521859.428571428,5126727.466666667,4060411.24,0.7142857142857143,0.6666666666666666,0.66,33785.857142857145,27786.85714285714,8182.933333333333,0.7142857142857143,0.7142857142857143,0.2,True,True,True,37471.73333333333,51410.857142857145,37471.73333333333,30490.54,51410.857142857145,37471.73333333333,30490.54,51410.857142857145,37471.73333333333,30490.54,51410.857142857145,37471.73333333333,30490.54,inf,inf,inf,5521859.428571428,5521859.428571428,5126727.466666667,5126727.466666667,4060411.24,678607.081124401,205318.64624154326,60464.15345380959,38228.0
2023-12-21,3,12,0,0.006134969325153374,3865,51410.857142857145,37471.73333333333,30490.54,28432.695,11373.078,5521859.428571428,5126727.466666667,4060411.24,0.7142857142857143,0.6666666666666666,0.66,36236.71428571428,31395.85714285714,10383.833333333334,0.7142857142857143,0.7142857142857143,0.23333333333333334,True,True,True,37471.73333333333,51379.32641269409,37467.13585670167,30489.292968651123,51404.5494492091,37470.20077844374,30489.916477950144,51161.83579846592,37670.89786964729,30598.59652535336,51095.45311130588,37241.845398773,30303.48147239264,900063086.8571428,835656577.0666667,661847032.12,5518472.823692292,5521181.941371668,5126098.458941959,5126412.953156956,4060162.1426570523,727387.4758610297,231957.2869396355,76717.31327715424,57227.0
2023-12-22,4,12,0,0.012269938650306749,3865,51410.857142857145,37471.73333333333,30490.54,28432.695,11373.078,5521859.428571428,5126727.466666667,4060411.24,0.7142857142857143,0.6666666666666666,0.66,38180.71428571428,26853.85714285714,10667.0,0.7142857142857143,0.7142857142857143,0.26666666666666666,True,True,True,37471.73333333333,51347.81502060474,37462.53894414297,30488.045988304526,51398.24252946372,37468.66828623403,30489.292968651123,50912.81445407471,37870.06240596125,30706.653050706722,50780.0490797546,37011.957464212675,30116.422944785274,450031543.4285714,417828288.53333336,330923516.06,5515088.295847667,5520504.537294072,5125469.528391377,5126098.458941959,4059913.060595681,765939.7663427211,198375.96970803628,78799.72167940419,0.0
2023-12-23,5,12,0,0.018404907975460124,3865,51410.857142857145,37471.73333333333,30490.54,28432.695,11373.078,5521859.428571428,5126727.466666667,4060411.24,0.7142857142857143,0.6666666666666666,0.66,36017.42857142857,25245.285714285714,11943.9,0.7142857142857143,0.7142857142857143,0.3,True,True,True,37471.73333333333,51316.322954728894,37457.942595588014,30486.79905895813,51391.93638352605,37467.13585670167,30488.669472102672,50663.79310968349,38069.22694227521,30814.709576060082,50464.64504820333,36782.06952965235,29929.364417177916,300021028.9523809,278552192.35555553,220615677.37333333,5511705.843763693,5519827.216328442,5124840.675005455,5125783.984020494,4059663.993814949,722099.1508353758,186470.18041162103,88221.66692920614,0.0
2023-12-24,6,12,0,0.024539877300613498,3865,51410.857142857145,37471.73333333333,30490.54,28432.695,11373.078,5521859.428571428,5126727.466666667,4060411.24,0.7142857142857143,0.6666666666666666,0.66,32703.428571428572,29846.428571428572,14726.033333333333,0.7142857142857143,0.7142857142857143,0.3333333333333333,True,True,True,37471.73333333333,51284.850203213595,37453.34681096761,30485.552180609848,51385.63101130115,37465.603489844085,30488.045988304526,50414.77176529227,38268.39147858917,30922.766101413443,50149.241016652064,36552.18159509202,29742.305889570554,225015771.7142857,208914144.26666668,165461758.03,5508325.466167285,5519149.97846458,5124211.8987747235,5125469.528391377,4059414.9423139184,655255.957397901,220428.7226378459,108758.09510744546,0.0
2023-12-25,0,12,1,0.03067484662576687,3865,51410.857142857145,37471.73333333333,30490.54,28432.695,11373.078,5521859.428571428,5126727.466666667,4060411.24,0.7142857142857143,0.6666666666666666,0.66,32703.428571428572,29846.428571428572,14726.033333333333,0.7142857142857143,0.7142857142857143,0.3333333333333333,True,True,True,37471.73333333333,51253.39675421319,37448.751590212574,30484.305353257594,51379.32641269409,37464.07118565871,30487.422517256437,50165.75042090105,38467.55601490313,31030.822626766803,49833.83698510079,36322.29366053169,29555.24736196319,180012617.37142855,167131315.41333333,132369406.42400001,5504947.161786144,5518472.823692292,5123583.199689717,5125155.0920534255,4059165.906091653,654854.0831649341,220401.6778280353,108744.7513745492,0.0
2023-12-26,1,12,1,0.03680981595092025,3865,51410.857142857145,37471.73333333333,30490.54,28432.695,11373.078,5521859.428571428,5126727.466666667,4060411.24,0.7142857142857143,0.6666666666666666,0.66,32703.428571428572,29846.428571428572,14726.033333333333,0.7142857142857143,0.7142857142857143,0.3333333333333333,True,True,True,37471.73333333333,51221.962595889265,37444.156933253704,30483.058576899275,51373.02258760996,37462.53894414297,30486.79905895813,49916.72907650983,38666.72055121709,31138.879152120167,49518.43295354952,36092.405725971366,29368.188834355828,150010514.47619045,139276096.17777777,110307838.68666667,5501570.929348745,5517795.752001381,5122954.57774097,5124840.675005455,4058916.8851472144,654452.4554049637,220374.63633640268,108731.40927882033,0.0
2023-12-27,2,12,0,0.04294478527607362,3865,51410.857142857145,37471.73333333333,30490.54,28432.695,11373.078,5521859.428571428,5126727.466666667,4060411.24,0.7142857142857143,0.6666666666666666,0.66,32045.85714285714,28041.85714285714,14726.033333333333,0.7142857142857143,0.5714285714285714,0.3333333333333333,True,True,True,37471.73333333333,51190.54771641069,37439.56284002184,30481.811851532813,51366.71953595384,37461.00676529432,30486.17561340936,49667.707732118615,38865.88508753105,31246.935677473528,49203.02892199825,35862.51779141104,29181.13030674847,128580440.97959182,119379511.00952381,94549576.01714286,5498196.767584351,5517118.763381654,5122326.0329190185,5124526.2772462815,4058667.879479666,640899.997218781,207024.9663090566,108718.06882005799,0.0
2023-12-28,3,12,0,0.049079754601226995,3865,51410.857142857145,37471.73333333333,30490.54,28432.695,11373.078,5521859.428571428,5126727.466666667,4060411.24,0.7142857142857143,0.6666666666666666,0.66,34947.28571428572,28370.285714285714,17003.566666666666,0.7142857142857143,0.5714285714285714,0.36666666666666664,True,True,True,37471.73333333333,51159.15210395358,37434.96931044783,30480.565177156124,51360.417257630856,37459.47464911019,30485.552180609848,49418.68638772739,39065.04962384501,31354.99220282689,48887.624890446976,35632.62985685071,28994.071779141104,112507885.85714285,104457072.13333334,82730879.015,5494824.675222997,5516441.85782292,5121697.5652144,5124211.8987747235,4058418.88908807,698498.35820615,209423.96222603187,125517.04058146704,0.0
2023-12-29,4,12,0,0.05521472392638037,3865,51410.857142857145,37471.73333333333,30490.54,28432.695,11373.078,5521859.428571428,5126727.466666667,4060411.24,0.7142857142857143,0.6666666666666666,0.66,36159.71428571428,33588.142857142855,18504.233333333334,0.7142857142857143,0.5714285714285714,0.4,True,True,True,37471.73333333333,51127.7757467013,37430.376344462486,30479.318553767116,51354.11575254611,37457.942595588014,30484.92876055935,49169.66504333617,39264.21416015897,31463.04872818025,48572.22085889571,35402.741922290385,28807.013251533743,100007009.65079364,92850730.78518519,73538559.12444445,5491454.650995501,5515765.035314988,5121069.174617653,5123897.539589596,4058169.91397149,722288.1519594017,247910.75413830153,136577.91262615783,0.0
