index,datetime,date,day_of_week,month,is_holiday,rm_id,daily_weight,num_orders,average_orders,max_orders,std_orders,cumulative_weight,bernoulli_success,staleness,rolling_7_avg,rolling_30_avg,rolling_100_avg,rolling_200_avg,rolling_500_avg,rolling_7_cumulative_avg,rolling_30_cumulative_avg,rolling_100_cumulative_avg,rolling_7_freq,rolling_30_freq,rolling_100_freq,shifted_30_rolling_7_avg,shifted_100_rolling_7_avg,shifted_100_rolling_30_avg,shifted_30_rolling_7_freq,shifted_100_rolling_7_freq,shifted_100_rolling_30_freq,true_rolling_7_avg,true_rolling_30_avg,true_rolling_100_avg,true_rolling_200_avg,true_rolling_500_avg,true_rolling_7_cumulative_avg,true_rolling_30_cumulative_avg,true_rolling_100_cumulative_avg,true_rolling_7_freq,true_rolling_30_freq,true_rolling_100_freq,rolling_7_short_decay,rolling_30_medium_decay,rolling_100_long_decay,rolling_7_medium_decay,rolling_30_long_decay,rolling_100_very_long_decay,rolling_7_noise,rolling_30_noise,rolling_100_noise,rolling_7_decay,rolling_30_decay,rolling_100_decay,freq_x_7,freq_x_30,freq_x_100,rolling_7_cumulative_decay,rolling_30_cumulative_decay,rolling_100_cumulative_decay,rolling_7_cumulative_short_decay,rolling_7_cumulative_medium_decay,rolling_30_cumulative_medium_decay,rolling_30_cumulative_long_decay,rolling_100_cumulative_long_decay,shifted_30_rolling_7_short_decay,shifted_100_rolling_7_medium_decay,shifted_100_rolling_30_medium_decay
576595,2023-12-20,2023-12-20,2,12,0,2130,118440.0,7.0,16920.0,20520.0,2817.7059226730294,336183618.0,0,29,35384.28571428572,29885.833333333332,21558.43,19661.17,39312.406,334710847.28571427,334381225.8666667,333667537.86,0.5714285714285714,0.4666666666666667,0.35,39305.28571428572,49803.0,27289.4,0.5714285714285714,0.7142857142857143,0.23333333333333334,49722.857142857145,47365.5,29279.34,23030.94,37278.696,336021596.85714287,335520566.26666665,334455681.18,0.7142857142857143,0.6333333333333333,0.46,1946.9573393959297,16733.029266779176,17768.613067462426,19811.603773512063,24632.118790592394,19572.005543938874,-480668.6854358995,-616485.1794988144,370342.12816762377,6465.6527670745945,10874.830489003334,19346.042798118375,3694.658724042625,5074.920894868223,6771.114979341431,11541753.354679802,11530387.098850574,11505777.167586207,18416868.60546837,187404056.66699314,187219502.17288342,250205288.99828604,249671262.2642796,43439.05869808279,206041.0092858401,112899.53454219634
576596,2023-12-21,2023-12-21,3,12,0,2130,30000.0,2.0,15000.0,19880.0,6901.362184380704,336213618.0,0,30,35384.28571428572,29885.833333333332,21558.43,19661.17,39312.406,334710847.28571427,334381225.8666667,333667537.86,0.5714285714285714,0.4666666666666667,0.35,35384.28571428572,40111.42857142857,29885.833333333332,0.5714285714285714,0.7142857142857143,0.26666666666666666,41418.71428571428,45769.066666666666,29053.53,23180.94,37275.6,336063015.5714286,335566335.3333333,334484734.71,0.7142857142857143,0.6333333333333333,0.46,1761.6798520051746,16401.69308770006,17650.549629078956,19419.307734875634,24468.45083136305,19506.87413810897,-498463.61547556095,-638773.8351137161,382369.1522423694,974.1976185259537,25085.182239334037,23621.18889154164,556.6843534434021,11706.418378355884,8267.416112039573,11157028.242857141,11146040.862222223,11122251.262,16664271.837279525,183693207.7172907,183512307.64701155,247715704.77591562,247186991.69669494,35384.28571428572,162659.86381294968,121193.03034245879
576597,2023-12-22,2023-12-22,4,12,0,2130,0.0,0.0,0.0,0.0,0.0,336213618.0,0,31,35384.28571428572,29885.833333333332,21558.43,19661.17,39312.406,334710847.28571427,334381225.8666667,333667537.86,0.5714285714285714,0.4666666666666667,0.35,35384.28571428572,33683.0,32117.133333333335,0.5714285714285714,0.7142857142857143,0.3,32071.285714285714,43537.76666666667,28437.4,23114.84,37275.6,336095086.85714287,335609873.1,334513172.11,0.5714285714285714,0.6,0.45,1594.0338486943333,16076.917804548175,17533.270662473336,19034.779678260704,24305.870362865062,19441.95947552574,-516258.54551522253,-661062.4907286176,394396.1763171151,6498.6945056157,21991.858547131476,12594.777819160885,3713.5397174946856,10262.867321994689,4408.172236706309,10797124.105990782,10786491.156989248,10763468.963225806,15078456.702693358,180055838.49995053,179878520.4910618,245250892.33045325,244727440.0342698,32017.025724760977,133886.61151890559,127662.44555713248
576598,2023-12-23,2023-12-23,5,12,0,2130,0.0,0.0,0.0,0.0,0.0,336213618.0,1,0,32071.285714285714,40449.433333333334,28097.33,22995.14,37275.6,336127158.14285713,335650322.53333336,334541269.44,0.5714285714285714,0.5666666666666667,0.44,46672.71428571428,35709.71428571428,31317.966666666667,0.7142857142857143,0.7142857142857143,0.3333333333333333,32071.285714285714,40449.433333333334,28097.33,22995.14,37275.6,336127158.14285713,335650322.53333336,334541269.44,0.5714285714285714,0.5666666666666667,0.44,32071.285714285714,40449.433333333334,28097.33,32071.285714285714,40449.433333333334,28097.33,32071.285714285714,40449.433333333334,28097.33,32071.285714285714,40449.433333333334,28097.33,18326.448979591834,22921.345555555556,12362.825200000001,inf,inf,inf,336127158.14285713,336127158.14285713,335650322.53333336,335650322.53333336,334541269.44,937446.5260911027,263861.0821339281,231410.21260444014
576599,2023-12-24,2023-12-24,6,12,0,2130,0.0,0.0,0.0,0.0,0.0,336213618.0,0,1,32071.285714285714,40449.433333333334,28097.33,22995.14,37275.6,336127158.14285713,335650322.53333336,334541269.44,0.5714285714285714,0.5666666666666667,0.44,48069.142857142855,28205.428571428572,28381.066666666666,0.7142857142857143,0.7142857142857143,0.36666666666666664,32071.285714285714,39166.13333333333,27926.13,22849.74,37275.6,336159229.4285714,335689488.6666667,334569195.57,0.5714285714285714,0.5333333333333333,0.43,29019.29935880784,39648.48088934338,27910.637466564767,31436.23170838475,40180.6673265626,28003.82815631524,15942.479549426494,10282.515137379069,43772.27777430792,29121.206257093647,39291.75467549594,27880.879482595014,16640.689289767797,22265.3276494477,12267.586972341805,336127158.14285713,335650322.53333336,334541269.44,304140429.9057475,329471394.4739985,329004000.84215784,332310546.02198136,331212528.19130766,873615.5900702397,204284.66992917427,205556.77151138702
576600,2023-12-25,2023-12-25,0,12,1,2130,0.0,0.0,0.0,0.0,0.0,336213618.0,0,2,32071.285714285714,40449.433333333334,28097.33,22995.14,37275.6,336127158.14285713,335650322.53333336,334541269.44,0.5714285714285714,0.5666666666666667,0.44,48069.142857142855,28205.428571428572,27965.6,0.7142857142857143,0.7142857142857143,0.36666666666666664,28897.14285714286,39166.13333333333,27926.13,22849.74,37275.6,336188126.5714286,335728654.8,334597121.7,0.42857142857142855,0.5333333333333333,0.43,26257.747905036264,38863.38836636262,27725.185410500177,30813.752614322486,39913.68713384271,27910.637466564767,-186.3266154327248,-19884.403058575197,59447.22554861585,25860.996846496204,38687.63827030473,28003.912623561675,14777.712483712115,21922.995019839345,12321.721554367137,168063579.07142857,167825161.26666668,167270634.72,275197641.3162633,322947423.75593996,322489285.13809776,329004000.84215784,327916908.47144574,790480.0748751169,200239.56244148503,198536.94097334432
576601,2023-12-26,2023-12-26,1,12,1,2130,0.0,0.0,0.0,0.0,0.0,336213618.0,0,3,32071.285714285714,40449.433333333334,28097.33,22995.14,37275.6,336127158.14285713,335650322.53333336,334541269.44,0.5714285714285714,0.5666666666666667,0.44,48069.142857142855,28205.428571428572,26717.2,0.7142857142857143,0.7142857142857143,0.36666666666666664,21205.714285714286,39166.13333333333,27926.13,22748.04,37275.6,336209332.28571427,335767820.93333334,334625047.83,0.2857142857142857,0.5333333333333333,0.43,23758.99281783214,38093.841716913834,27540.965589462096,30203.599432161463,39648.48088934338,27817.756895295515,-16315.132780291944,-50051.32125452947,75122.17332292377,24018.809965943125,38877.690615146064,27254.90657233587,13725.034266253213,22030.691348582768,11992.158891827783,112042386.04761904,111883440.84444445,111513756.48,249009123.21819383,316552636.3134069,316103569.44800735,325730356.3365895,324654080.71569604,715255.9499588731,196274.55344866883,185918.34143271012
576602,2023-12-27,2023-12-27,2,12,0,2130,0.0,0.0,0.0,0.0,0.0,336213618.0,0,4,32071.285714285714,40449.433333333334,28097.33,22995.14,37275.6,336127158.14285713,335650322.53333336,334541269.44,0.5714285714285714,0.5666666666666667,0.44,46923.71428571428,23617.285714285714,28466.7,0.7142857142857143,0.5714285714285714,0.36666666666666664,4285.714285714285,37416.63333333333,27926.13,22748.04,37275.6,336213618.0,335805237.56666666,334652973.96,0.14285714285714285,0.5,0.43,21498.02571642214,37339.53311207647,27357.969815872602,29605.528092493332,39385.03680607675,27725.185410500177,-32443.938945151163,-80218.23945048373,90797.12109723169,21751.950468542724,37309.9094742314,26811.083522153476,12429.685982024414,21142.28203539779,11796.87674974753,84031789.53571428,83912580.63333334,83635317.36,225312772.12014863,310284474.1461572,309844299.40046656,322489285.13809776,321423718.6385638,631768.5967721236,161092.52501451658,194170.17845775897
576603,2023-12-28,2023-12-28,3,12,0,2130,0.0,0.0,0.0,0.0,0.0,336213618.0,0,5,32071.285714285714,40449.433333333334,28097.33,22995.14,37275.6,336127158.14285713,335650322.53333336,334541269.44,0.5714285714285714,0.5666666666666667,0.44,52274.57142857143,31619.0,32311.666666666668,0.7142857142857143,0.5714285714285714,0.4,0.0,33571.666666666664,26840.2,22748.04,37275.6,336213618.0,335838809.23333335,334679814.16,0.0,0.4666666666666667,0.42,19452.21808211807,36600.16081835101,27176.18995655608,29019.29935880784,39123.343175373535,27632.92198360575,-48572.74511001038,-110385.157646438,106472.06887153961,20051.10718508129,38445.343747397346,27425.607277812785,11457.775534332166,21785.69479019183,12067.267202237626,67225431.62857142,67130064.50666668,66908253.888,203871426.9757198,304140429.9057475,303708971.2039984,319280463.13686174,318225499.2011495,636834.6507269337,211401.2963704282,216032.392587447
576604,2023-12-29,2023-12-29,4,12,0,2130,0.0,0.0,0.0,0.0,0.0,336213618.0,1,0,0.0,30106.266666666666,25568.38,22748.04,37275.6,336213618.0,335868915.5,334705382.54,0.0,0.43333333333333335,0.41,57563.57142857143,40986.0,35777.066666666666,0.7142857142857143,0.5714285714285714,0.43333333333333335,0.0,30106.266666666666,25568.38,22748.04,37275.6,336213618.0,335868915.5,334705382.54,0.0,0.43333333333333335,0.41,0.0,30106.266666666666,25568.38,0.0,30106.266666666666,25568.38,0.0,30106.266666666666,25568.38,0.0,30106.266666666666,25568.38,0.0,13046.048888888889,10483.0358,inf,inf,inf,336213618.0,336213618.0,335868915.5,335868915.5,334705382.54,1156195.239359122,302847.8532707716,264358.7526551818
